timestamp,tweets
2006032120,2
2006032121,10
2006032123,1
2006032200,1
2006032213,1
2006032300,1
2006032403,1
2006040101,2
2006040102,2
2006040103,5
2006040104,3
2006040118,1
2006040119,1
2006040316,1
2006040318,1
2006040419,3
2006040421,1
2006040423,1
2006040501,1
2006040718,1
2006040805,2
2006040917,1
2006041301,1
2006041403,1
2006041405,1
2006041406,3
2006041815,2
2006041916,1
2006042521,1
2006042607,1
2006042806,1
2006042817,2
2006042820,2
2006042823,10
2006042900,10
2006042901,8
2006042902,1
2006042922,1
2006050100,1
2006050101,7
2006050105,1
2006050109,1
2006050122,2
2006050217,6
2006050219,7
2006050305,2
2006050318,1
2006050323,2
2006050600,1
2006050701,2
2006050820,1
2006050919,1
2006051000,2
2006051003,3
2006051118,3
2006051122,2
2006051217,1
2006051518,1
2006051519,4
2006051521,1
2006051900,1
2006051922,1
2006052019,2
2006052100,1
2006052323,1
2006052415,1
2006052510,1
2006052604,2
2006052700,1
2006052820,1
2006053022,1
2006053118,1
2006060106,1
2006060319,1
2006060400,3
2006060408,1
2006060521,1
2006060600,1
2006060615,2
2006060717,1
2006060719,1
2006060816,1
2006060900,1
2006060909,1
2006061419,1
2006061505,1
2006061517,1
2006061519,2
2006061520,1
2006061601,1
2006061706,1
2006061917,2
2006062003,1
2006062021,1
2006062022,1
2006062119,1
2006062121,6
2006062122,2
2006062123,1
2006062220,1
2006062417,2
2006062419,1
2006062717,1
2006062902,1
2006062920,1
2006063000,1
2006063007,2
2006063018,1
2006070117,1
2006070119,1
2006070203,2
2006070217,3
2006070221,1
2006070302,1
2006070303,2
2006070404,1
2006070500,2
2006070503,1
2006070513,1
2006070517,1
2006070519,1
2006070604,1
2006070615,1
2006070620,1
2006070622,1
2006070623,1
2006070705,1
2006070800,1
2006070820,1
2006070922,2
2006071023,1
2006071111,1
2006071115,2
2006071121,1
2006071123,1
2006071201,1
2006071202,2
2006071204,1
2006071209,30
2006071211,2
2006071215,3
2006071216,2
2006071217,1
2006071218,2
2006071219,8
2006071220,1
2006071221,1
2006071222,1
2006071223,10
2006071300,3
2006071301,4
2006071303,1
2006071304,2
2006071305,1
2006071307,1
2006071309,5
2006071313,3
2006071316,2
2006071317,1
2006071318,3
2006071319,2
2006071320,5
2006071321,21
2006071322,21
2006071323,9
2006071401,7
2006071402,3
2006071403,4
2006071404,7
2006071405,9
2006071406,8
2006071407,4
2006071408,6
2006071409,39
2006071410,1
2006071411,3
2006071412,5
2006071413,10
2006071414,7
2006071415,7
2006071416,14
2006071417,7
2006071418,4
2006071419,5
2006071420,5
2006071421,10
2006071422,8
2006071423,5
